route0,440400,0,0,4,0402,32537102134219;7|32536102350463;130|32536102350465;7|32536112350464;131|32537112134217;6|,1430249,1430247,1,1
route1,440400,0,0,4,0402,32536112350466;180|32536112350465;7|32536102350467;180|,1795123,1795123,0,0
route2,440400,0,0,4,0602,32537112132602;220|32537112132603;18|32537102132600;218|325371016758973;182|325371016758974;44|32537102131096;113|32537102135775;331|32537102135776;349|325371020096149;68|325371020096150;427|325371020096102;435|32537102132629;783|32536102350469;4|32536102350470;160|325361186753173;49|325361186753172;112|32536112350472;12|32537112132628;786|325371186753175;117|325371120096104;301|325371120096152;427|325371120096151;73|32537112134261;346|32537112134264;329|,1420808,1420819,0,0
route3,440400,0,0,4,0601,32537102132625;550|32537112135772;436|32536102350471;5|,1420815,1795134,0,0
route4,440400,0,0,4,0601,32536112350471;5|32537102135772;436|32537112132625;550|,1795134,1420815,0,0
route5,440400,0,0,4,0801,325361020439453;3|325361020096106;145|325361020096128;370|325361020096129;786|325361020096110;345|325361020096120;468|325361020096121;718|325362020096113;194|325362020096112;664|325361020096119;734|,15222986,15330605,0,0
route6,440400,0,0,4,0601,325361020439450;4|325361020439451;3|325361020096124;2344|325361020096126;390|325361020096107;359|325361120096128;370|325361120096106;145|325361120439453;3|325361120439452;3|,1795130,1795123,0,0
route7,440400,0,0,4,0814,325361020096122;1155|325361020096123;672|325361120096120;468|325361120096110;345|325361120096129;786|325361120096107;359|325361120096126;390|325361020096109;1324|,15330582,15330577,0,0
route8,440400,0,0,4,0814,325361020096127;703|,15330580,15330572,0,0
route9,440400,0,0,4,0801,325361023394065;45|325362023391711;345|325362023394208;209|325362023391714;1529|325362120096097;1740|325372120096096;257|325372116758993;269|325372016758995;79|,48623887,20013418205,0,0
route10,440400,0,0,4,0814,325361120096109;1324|325361120096124;2344|325361120439451;3|325361120439450;4|,15330577,1795130,0,0
route11,440400,0,0,4,0814,325361120096119;734|325362120096112;664|325362020096118;759|325362020096115;1027|,15330605,15330597,0,0
route12,440400,0,0,4,0814,325362120096115;1027|325362120096118;759|325362120096113;194|325361120096121;718|325361120096123;672|325361120096122;1155|,15330597,15330582,0,0
route13,440400,0,0,4,0814,325361120096127;703|,15330572,15330580,0,0
route14,440400,0,0,4,0801,325362023394205;273|325362023394206;385|325362123391711;345|325361123394065;45|,48624427,48623887,0,0
route15,440400,0,0,4,0814,325362016758997;327|325362016758999;448|325372020096131;147|325372020096132;173|,13418206,1266078,0,0
route16,440400,0,0,4,0814,325372120096132;173|325372120096130;375|325372016759002;41|325362016759003;30|325362116758997;327|,1266078,13418206,0,0
route17,440400,0,0,4,0601,325372016758992;456|325372016758993;269|325372020096096;257|325362020096097;1740|325362123391714;1529|325362023394210;342|325362023394209;133|325362023391715;2293|325362023391713;2521|325362023394202;470|,73611463,48624424,0,0
